,Month,SalesSystemCode,TITULO,SupervisorEmployeeID,Monthly Subscribers,Churned Subscribers,MonthsofEmploymentRounded,Exit Date,Características (D),Características (I),Características (S),Características (C),Motivación (D),Motivación (I),Motivación (S),Motivación (C),Bajo Stress (D),Bajo Stress (I),Bajo Stress (S),Bajo Stress (C),Rental Charge,Cost to Company,Revenue Per CtC
80,2017-12-01,2449.0,SALES EXECUTIVE,1812401,44.0,5.0,9.0,2018-02-16,,,,,,,,,,,,,573.7504349999997,1533.33,0.3741858797519123
81,2017-12-01,802614.0,SALES EXECUTIVE,1812401,,,6.0,2018-07-02,84.0,55.0,62.0,20.0,96.0,74.0,65.0,7.0,99.0,45.0,69.0,48.0,,1533.33,
82,2017-12-01,802717.0,SALES EXECUTIVE,1812401,,,3.0,2018-03-16,23.0,86.0,57.0,79.0,30.0,82.0,40.0,93.0,23.0,86.0,79.0,60.0,,1533.33,
83,2017-12-01,812776.0,SALES EXECUTIVE ,1812401,,,2.0,2018-03-23,,,,,,,,,,,,,,1533.33,
84,2017-12-01,802785.0,SALES EXECUTIVE ,1812401,,,2.0,,90.0,43.0,10.0,34.0,90.0,58.0,11.0,18.0,87.0,45.0,18.0,60.0,,1533.33,
85,2017-12-01,802828.0,SALES EXECUTIVE ,1812401,57.0,4.0,1.0,2018-04-20,65.0,55.0,57.0,60.0,75.0,82.0,40.0,55.0,45.0,30.0,79.0,74.0,712.6874999999997,1533.33,0.4647972060808826
86,2017-12-01,802832.0,SALES EXECUTIVE ,1812401,,,1.0,2018-03-06,43.0,25.0,81.0,53.0,22.0,58.0,75.0,33.0,69.0,18.0,89.0,74.0,,1533.33,
87,2017-12-01,812853.0,SALES EXECUTIVE ,1812401,,,1.0,,48.0,72.0,40.0,85.0,40.0,74.0,65.0,84.0,60.0,75.0,30.0,84.0,,1533.33,
88,2017-12-01,2467.0,SALES EXECUTIVE,1812401,,,9.0,,46.0,72.0,71.0,60.0,45.0,58.0,75.0,73.0,45.0,86.0,69.0,60.0,,1533.33,
100,2017-11-01,91868.0,SALES SUPERVISOR,7935,,,66.0,,,,,,,,,,,,,,,1953.33,
101,2017-11-01,802496.0,SALES EXECUTIVE,91868,,,7.0,2018-04-13,70.0,95.0,20.0,25.0,85.0,95.0,11.0,7.0,60.0,86.0,40.0,60.0,,1533.33,
102,2017-11-01,2430.0,SALES EXECUTIVE,91868,,,8.0,,70.0,62.0,48.0,34.0,75.0,74.0,58.0,33.0,69.0,60.0,60.0,48.0,,1533.33,
103,2017-11-01,700915.0,SALES EXECUTIVE,91868,,,33.0,,60.0,25.0,75.0,85.0,40.0,74.0,65.0,84.0,79.0,6.0,89.0,84.0,,1533.33,
104,2017-11-01,802581.0,SALES EXECUTIVE,91868,,,5.0,2018-08-31,67.0,15.0,40.0,94.0,59.0,25.0,65.0,93.0,79.0,18.0,30.0,92.0,,1533.33,
105,2017-11-01,700894.0,SALES EXECUTIVE,91868,49.0,3.0,34.0,,75.0,55.0,25.0,90.0,85.0,58.0,30.0,84.0,69.0,60.0,30.0,92.0,629.5124999999997,1533.33,0.41055252294026706
106,2017-11-01,2438.0,SALES EXECUTIVE,91868,,,8.0,2018-04-12,52.0,55.0,33.0,60.0,69.0,58.0,40.0,55.0,40.0,60.0,40.0,74.0,,1533.33,
107,2017-11-01,802446.0,SALES EXECUTIVE,91868,,,8.0,2017-11-30,,,,,,,,,,,,,,1533.33,
108,2017-11-01,802518.0,SALES EXECUTIVE,91868,,,6.0,2017-12-01,,,,,,,,,,,,,,1533.33,
109,2017-11-01,701450.0,SALES EXECUTIVE,91868,,,14.0,2018-03-28,52.0,62.0,40.0,70.0,59.0,58.0,58.0,84.0,45.0,75.0,40.0,60.0,,1533.33,
110,2017-11-01,802681.0,SALES EXECUTIVE,91868,46.0,8.0,3.0,2018-08-31,40.0,86.0,71.0,70.0,10.0,90.0,58.0,33.0,69.0,75.0,89.0,92.0,645.8186349999997,1533.33,0.42118698192822146
111,2017-11-01,802673.0,SALES EXECUTIVE,91868,,,3.0,2018-08-01,40.0,33.0,62.0,90.0,30.0,25.0,75.0,93.0,45.0,60.0,60.0,84.0,,1533.33,
112,2017-11-01,802680.0,SALES EXECUTIVE,91868,,,2.0,2018-03-23,43.0,33.0,57.0,85.0,40.0,58.0,58.0,73.0,45.0,30.0,69.0,92.0,,1533.33,
113,2017-11-01,802706.0,SALES EXECUTIVE ,91868,,,2.0,,84.0,33.0,40.0,60.0,85.0,25.0,40.0,84.0,87.0,60.0,60.0,48.0,,1533.33,
114,2017-11-01,802727.0,SALES EXECUTIVE,91868,,,2.0,,,,,,,,,,,,,,,1533.33,
115,2017-11-01,802796.0,SALES EXECUTIVE ,91868,48.0,3.0,1.0,,60.0,62.0,30.0,70.0,69.0,40.0,30.0,84.0,45.0,86.0,40.0,60.0,630.7624999999997,1533.33,0.411367742103787
116,2017-11-01,782829.0,SALES EXECUTIVE ,91868,,,0.0,,75.0,20.0,48.0,79.0,75.0,74.0,40.0,55.0,79.0,6.0,69.0,92.0,,1533.33,
117,2017-11-01,802849.0,SALES EXECUTIVE ,91868,,,0.0,2018-03-07,65.0,25.0,33.0,70.0,59.0,58.0,30.0,84.0,69.0,18.0,60.0,60.0,,1533.33,
118,2017-11-01,802590.0,SALES EXECUTIVE,Aff - 687,,,5.0,2018-05-31,52.0,43.0,62.0,70.0,69.0,74.0,65.0,33.0,40.0,30.0,69.0,92.0,,1533.33,
119,2017-11-01,802486.0,SALES EXECUTIVE,Aff - 687,,,7.0,2018-07-27,60.0,7.0,62.0,94.0,40.0,10.0,65.0,93.0,79.0,10.0,69.0,92.0,,1533.33,
120,2017-11-01,812399.0,SALES EXECUTIVE,Aff - 687,,,8.0,2017-12-18,,,,,,,,,,,,,,1533.33,
121,2017-11-01,812406.0,SALES EXECUTIVE,Aff - 687,44.0,3.0,8.0,,67.0,43.0,40.0,85.0,45.0,74.0,30.0,93.0,87.0,30.0,69.0,74.0,567.6095999999998,1533.33,0.3701809786543013
122,2017-11-01,802513.0,SALES EXECUTIVE,Aff - 687,,,6.0,,84.0,7.0,40.0,90.0,85.0,25.0,40.0,84.0,87.0,6.0,60.0,92.0,,1533.33,
123,2017-11-01,802574.0,SALES EXECUTIVE,Aff - 687,,,5.0,2018-03-28,65.0,33.0,57.0,79.0,59.0,58.0,65.0,73.0,69.0,30.0,60.0,84.0,,1533.33,
124,2017-11-01,802608.0,SALES EXECUTIVE,Aff - 687,,,5.0,2017-12-18,,,,,,,,,,,,,,1533.33,
125,2017-11-01,802480.0,SALES EXECUTIVE,Aff - 687,,,7.0,,80.0,62.0,20.0,70.0,75.0,74.0,40.0,55.0,87.0,60.0,11.0,84.0,,1533.33,
126,2017-11-01,812407.0,SALES EXECUTIVE,Aff - 687,,,8.0,2017-12-18,,,,,,,,,,,,,,1533.33,
127,2017-11-01,802679.0,SALES EXECUTIVE,Aff - 687,49.0,4.0,3.0,,80.0,25.0,33.0,70.0,90.0,25.0,40.0,18.0,60.0,45.0,40.0,96.0,660.1629349999997,1533.33,0.4305419805260445
128,2017-11-01,802709.0,SALES EXECUTIVE ,Aff - 687,,,2.0,,75.0,86.0,20.0,25.0,75.0,82.0,18.0,18.0,79.0,86.0,30.0,48.0,,1533.33,
129,2017-11-01,802761.0,SALES EXECUTIVE ,Aff - 687,,,1.0,2018-03-23,67.0,55.0,57.0,60.0,69.0,40.0,40.0,73.0,69.0,75.0,79.0,60.0,,1533.33,
130,2017-11-01,802762.0,SALES EXECUTIVE ,Aff - 687,,,1.0,2017-11-30,,,,,,,,,,,,,,1533.33,
131,2017-11-01,802765.0,SALES EXECUTIVE ,Aff - 687,42.0,3.0,1.0,2018-04-20,23.0,86.0,62.0,85.0,22.0,90.0,65.0,84.0,32.0,75.0,69.0,84.0,569.5485349999998,1533.33,0.3714455042293569
132,2017-11-01,782827.0,SALES EXECUTIVE ,Aff - 687,,,0.0,2018-03-23,60.0,20.0,75.0,90.0,40.0,40.0,75.0,84.0,79.0,18.0,79.0,92.0,,1533.33,
133,2017-11-01,802834.0,SALES EXECUTIVE ,Aff - 687,,,0.0,,,,,,,,,,,,,,,1533.33,
134,2017-11-01,802843.0,SALES EXECUTIVE ,Aff - 687,,,0.0,,,,,,,,,,,,,,,1533.33,
135,2017-11-01,802850.0,SALES EXECUTIVE ,Aff - 687,,,0.0,,75.0,72.0,30.0,60.0,75.0,74.0,40.0,55.0,79.0,75.0,30.0,74.0,,1533.33,
136,2017-11-01,2431.0,SALES EXECUTIVE,7935,,,8.0,2018-02-01,40.0,90.0,25.0,94.0,40.0,90.0,30.0,84.0,40.0,86.0,30.0,96.0,,1533.33,
137,2017-11-01,802573.0,SALES EXECUTIVE,1812431,58.0,6.0,5.0,2018-07-12,,,,,,,,,,,,,742.7774349999996,1533.33,0.4844211193937376
138,2017-11-01,802576.0,SALES EXECUTIVE,1812431,38.0,3.0,5.0,,,,,,,,,,,,,,492.0999999999998,1533.33,0.32093548029452224
139,2017-11-01,701111.0,SALES EXECUTIVE,1812431,,,29.0,,43.0,72.0,48.0,60.0,59.0,82.0,30.0,55.0,32.0,60.0,79.0,74.0,,1533.33,
140,2017-11-01,802632.0,SALES EXECUTIVE,1812431,,,5.0,,67.0,62.0,33.0,42.0,59.0,74.0,40.0,33.0,79.0,60.0,40.0,60.0,,1533.33,
141,2017-11-01,802637.0,SALES EXECUTIVE,1812431,,,5.0,2018-03-27,65.0,72.0,25.0,42.0,69.0,40.0,30.0,33.0,60.0,95.0,30.0,60.0,,1533.33,
142,2017-11-01,802462.0,SALES EXECUTIVE,1812431,,,8.0,2018-04-12,87.0,86.0,20.0,13.0,85.0,90.0,40.0,7.0,95.0,75.0,11.0,31.0,,1533.33,
143,2017-11-01,802588.0,SALES EXECUTIVE,1812431,,,5.0,2018-08-31,,,,,,,,,,,,,,1533.33,
144,2017-11-01,802429.0,SALES EXECUTIVE,1812431,,,8.0,,65.0,62.0,57.0,42.0,69.0,74.0,58.0,33.0,60.0,60.0,69.0,60.0,,1533.33,
145,2017-11-01,802685.0,SALES EXECUTIVE,1812431,78.0,4.0,3.0,,84.0,43.0,40.0,42.0,75.0,58.0,40.0,33.0,95.0,45.0,60.0,60.0,965.0624999999997,1533.33,0.6293899551955546
146,2017-11-01,802708.0,SALES EXECUTIVE,1812431,,,2.0,,67.0,43.0,40.0,34.0,69.0,74.0,58.0,18.0,69.0,30.0,40.0,60.0,,1533.33,
147,2017-11-01,802747.0,SALES EXECUTIVE ,1812431,,,1.0,2017-11-23,,,,,,,,,,,,,,1533.33,
148,2017-11-01,802748.0,SALES EXECUTIVE ,1812431,,,1.0,2017-11-30,,,,,,,,,,,,,,1533.33,
149,2017-11-01,802759.0,SALES EXECUTIVE ,1812431,,,1.0,,,,,,,,,,,,,,,1533.33,
150,2017-11-01,802760.0,SALES EXECUTIVE ,1812431,,,1.0,,70.0,55.0,16.0,53.0,86.0,40.0,11.0,33.0,45.0,75.0,30.0,74.0,,1533.33,
